index,Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,INCOME
0,39,7,13,4,1,0,4,1,2174,0,40,39,0
1,50,6,13,2,4,4,4,1,0,0,13,39,0
2,38,4,9,0,6,0,4,1,0,0,40,39,0
3,53,4,7,2,6,4,2,1,0,0,40,39,0
4,28,4,13,2,10,5,2,0,0,0,40,5,0
5,37,4,14,2,4,5,4,0,0,0,40,39,0
6,49,4,5,3,8,0,2,0,0,0,16,23,0
7,52,6,9,2,4,4,4,1,0,0,45,39,1
8,31,4,14,4,10,0,4,0,14084,0,50,39,1
9,42,4,13,2,4,4,4,1,5178,0,40,39,1
10,37,4,10,2,4,4,2,1,0,0,80,39,1
11,30,7,13,2,10,4,1,1,0,0,40,19,1
12,23,4,13,4,1,3,4,0,0,0,30,39,0
13,32,4,12,4,12,0,2,1,0,0,50,39,0
14,40,4,11,2,3,4,1,1,0,0,40,0,1
15,34,4,4,2,14,4,0,1,0,0,45,26,0
16,25,6,9,4,5,3,4,1,0,0,35,39,0
17,32,4,9,4,7,1,4,1,0,0,40,39,0
18,38,4,7,2,12,4,4,1,0,0,50,39,0
19,43,6,14,0,4,1,4,0,0,0,45,39,1
20,40,4,16,2,10,4,4,1,0,0,60,39,1
21,54,4,9,5,8,1,2,0,0,0,20,39,0
22,35,1,5,2,5,4,2,1,0,0,40,39,0
23,43,4,7,2,14,4,4,1,0,2042,40,39,0
24,59,4,9,0,13,1,4,0,0,0,40,39,0
25,56,2,13,2,13,4,4,1,0,0,40,39,1
26,19,4,9,4,3,3,4,1,0,0,40,39,0
27,54,0,10,2,0,4,1,1,0,0,60,35,1
28,39,4,9,0,4,0,4,1,0,0,80,39,0
29,49,4,9,2,3,4,4,1,0,0,40,39,0
30,23,2,12,4,11,0,4,1,0,0,52,39,0
31,20,4,10,4,12,3,2,1,0,0,44,39,0
32,45,4,13,0,4,3,4,1,0,1408,40,39,0
33,30,1,10,2,1,3,4,1,0,0,40,39,0
34,22,7,10,2,8,4,2,1,0,0,15,39,0
35,48,4,7,4,7,1,4,1,0,0,40,33,0
36,21,4,10,4,7,3,4,1,0,0,40,39,0
37,19,4,9,1,1,5,4,0,0,0,25,39,0
38,31,4,10,2,12,4,4,1,0,0,38,0,1
39,48,6,12,2,10,4,4,1,0,0,40,39,0
40,31,4,5,2,7,4,4,1,0,0,43,39,0
41,53,6,13,2,10,4,4,1,0,0,40,39,0
42,24,4,13,2,13,4,4,1,0,0,50,39,0
43,49,4,9,5,1,1,4,0,0,0,40,39,0
44,25,4,9,4,6,0,4,1,0,0,35,39,0
45,57,1,13,2,10,4,2,1,0,0,40,39,1
46,53,4,9,2,7,4,4,1,0,0,38,39,0
47,44,4,14,0,4,1,4,0,0,0,40,39,0
48,41,7,11,2,3,4,4,1,0,0,40,39,0
49,29,4,11,4,10,0,4,1,0,0,43,39,0
50,25,4,10,2,4,5,3,0,0,0,40,39,0
51,18,4,9,4,8,3,4,0,0,0,30,0,0
52,47,4,15,2,10,5,4,0,0,1902,60,16,1
53,50,1,13,0,4,0,4,1,0,0,55,39,1
54,47,5,9,0,4,0,4,1,0,0,60,39,0
55,43,4,10,2,13,4,4,1,0,0,40,39,1
56,46,4,3,2,7,4,4,1,0,0,40,26,0
57,35,4,11,2,8,4,4,1,0,0,40,33,0
58,41,4,9,2,1,4,4,1,0,0,48,39,0
59,30,4,9,2,7,4,4,1,5013,0,40,39,0
60,30,4,13,2,12,4,4,1,2407,0,40,39,0
61,32,0,4,3,0,0,4,1,0,0,40,0,0
62,48,4,9,2,14,4,4,1,0,0,40,39,0
63,42,4,16,2,10,4,4,1,0,0,45,39,1
64,29,4,10,0,13,0,4,1,0,0,58,39,0
65,36,4,9,2,3,4,4,1,0,0,40,39,0
66,28,4,10,0,1,0,4,0,0,0,40,39,0
67,53,4,9,2,1,5,4,0,0,0,40,39,1
68,49,5,10,2,4,4,4,1,0,0,50,39,1
69,25,0,10,4,0,3,4,1,0,0,40,39,0
70,19,4,10,4,10,3,4,1,0,0,32,39,0
71,31,4,13,5,12,3,2,0,0,0,40,39,0
72,29,6,13,2,12,4,4,1,0,0,70,39,1
73,23,4,10,4,7,0,4,1,0,0,40,39,0
74,79,4,10,2,10,2,4,1,0,0,20,39,0
75,27,4,9,4,8,3,4,1,0,0,40,26,0
76,40,4,12,2,1,4,4,1,0,0,40,39,0
77,67,0,6,2,0,4,4,1,0,0,2,39,0
78,18,4,7,4,8,3,4,0,0,0,22,39,0
79,31,2,4,2,5,4,4,1,0,0,40,39,0
80,18,4,9,4,12,0,4,1,0,0,30,39,0
81,52,4,13,2,8,4,4,1,0,0,40,5,0
82,46,4,9,2,8,5,4,0,0,0,40,39,0
83,59,4,9,2,12,4,4,1,0,0,48,39,0
84,44,4,9,0,3,0,4,0,14344,0,40,39,1
85,53,4,9,0,12,3,4,0,0,0,35,39,0
86,49,2,9,2,11,4,4,1,0,0,40,39,1
87,33,4,14,2,10,4,4,1,0,0,50,39,0
88,30,4,5,4,12,0,4,1,0,0,40,39,0
89,43,1,16,4,10,0,4,0,0,0,50,39,1
90,57,4,11,2,10,4,4,1,0,0,40,39,0
91,37,4,10,0,3,1,4,0,0,0,40,39,0
92,28,4,10,0,7,1,2,0,0,0,25,39,0
93,30,4,9,2,12,5,1,0,0,1573,35,0,0
94,34,2,13,2,11,4,4,1,0,0,40,39,1
95,29,2,10,4,6,0,4,1,0,0,50,39,0
96,48,6,16,2,10,4,4,1,0,1902,60,39,1
97,37,4,10,2,12,4,4,1,0,0,48,39,1
98,48,4,12,0,4,1,4,0,0,0,40,9,0
99,32,1,9,4,8,3,2,1,0,0,40,39,0
100,76,4,14,2,4,4,4,1,0,0,40,39,1
101,44,4,13,2,4,4,4,1,15024,0,60,39,1
102,47,6,14,4,10,0,4,0,0,0,50,39,0
103,20,4,10,4,13,3,4,0,0,0,40,39,0
104,29,4,9,4,3,0,4,1,0,0,40,39,0
105,32,5,9,2,3,4,4,1,7688,0,40,39,1
106,17,0,6,4,0,3,4,0,34095,0,32,39,0
107,30,4,7,4,6,3,4,1,0,0,40,39,0
108,31,2,9,4,1,0,4,0,0,0,40,39,0
109,42,4,9,2,6,4,4,1,0,0,40,39,0
