datetime,Net Spend,TV Spend,temperature,rain,revenue,weekend FLG
2019/4/1,0,0,8.8,5.5,151579.5187,0
2019/4/2,0,0,7.2,0,162928.9412,0
2019/4/3,0,0,8.1,0,161903.2741,0
2019/4/4,0,0,10.6,0,333822.826,0
2019/4/5,0,0,15.4,0,249339.9429,1
2019/4/6,0,0,15.9,0,467929.9996,1
2019/4/7,0,0,15.5,0,391287.8366,1
2019/4/8,0,250559.9973,9.3,11,210324.7675,0
2019/4/9,57935.62296,250559.9973,10.3,0,314850.103,0
2019/4/10,68211.97004,250559.9973,5.7,29.5,249715.4373,0
2019/4/11,62880.87142,250559.9973,10.4,1.5,320610.423,0
2019/4/12,89085.47014,250559.9973,9.6,0,411861.5745,1
2019/4/13,75220.7545,250559.9973,12.1,0,479754.2386,1
2019/4/14,62433.50033,250559.9973,14.7,0,499230.0144,1
2019/4/15,68877.26465,197984.8521,16,5,491206.9871,0
2019/4/16,66673.48655,197984.8521,15.3,0,421903.7638,0
2019/4/17,89881.58146,197984.8521,15.5,0,389307.7033,0
2019/4/18,55896.83472,197984.8521,17.5,0,363397.9578,0
2019/4/19,66261.35403,197984.8521,18.3,0,508870.6351,1
2019/4/20,0,197984.8521,14.2,0,258090.0569,1
2019/4/21,0,197984.8521,17.5,0,339136.9244,1
2019/4/22,0,0,19.2,0,339342.3727,0
2019/4/23,0,0,18.7,0,271043.9618,0
2019/4/24,0,0,19.1,3,327072.4336,0
2019/4/25,0,0,20.3,4,340378.6779,0
2019/4/26,0,0,11.6,4.5,306421.9938,1
2019/4/27,0,0,10.2,6.5,264920.6281,1
2019/4/28,0,0,12.6,0,287310.1767,1
2019/4/29,0,0,14.8,0,211800.1225,0
2019/4/30,0,0,14.8,20,189745.0186,0
2019/5/1,0,0,17.4,26,338589.5253,0
2019/5/2,0,0,17.3,3.5,268418.0208,0
2019/5/3,0,0,18.5,0,500460.8354,1
2019/5/4,0,0,18.4,0,514250.2681,1
2019/5/5,0,0,18.9,0,529384.694,1
2019/5/6,0,107607.7485,18.8,0,258527.2966,0
2019/5/7,0,107607.7485,15.3,0,395283.559,0
2019/5/8,0,107607.7485,16.5,0,428586.1176,0
2019/5/9,52253.46365,107607.7485,18.6,0,575693.3629,0
2019/5/10,53953.94499,107607.7485,20.6,0,580358.183,1
2019/5/11,0,107607.7485,20.9,0,557937.7157,1
2019/5/12,0,107607.7485,17.6,0,400150.1336,1
2019/5/13,0,164518.7624,17.7,0,331143.4847,0
2019/5/14,99015.5079,164518.7624,17.9,0.5,343555.7688,0
2019/5/15,0,164518.7624,18.7,0,414751.779,0
2019/5/16,51238.51397,164518.7624,20,0,498551.6096,0
2019/5/17,0,164518.7624,20,0,354933.4013,1
2019/5/18,75549.80712,164518.7624,20.3,0,505608.184,1
2019/5/19,0,164518.7624,20.5,0,410677.7798,1
2019/5/20,55745.1944,47150.24186,20.5,0,506545.246,0
2019/5/21,0,47150.24186,19.4,82,229606.7866,0
2019/5/22,0,47150.24186,19.4,0,328183.3415,0
2019/5/23,0,47150.24186,21.3,0,266475.3483,0
